type,by,post_message,picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes,likes_count_fb,comments_count_fb,comments_all,comments_base,comments_replies,shares,comment_likes,engagement,post_id,post_link
photo,post_page_54942390562,Don_t miss this lecture tonight at 7:00 pm in the Meyer Science enter with Chuck Rosenberg_ who serves as the chief of staff and senior counselor to FBI Director Jim Comey. Rosenberg will speak on the topic of _The History and Mission of the FBI: From Gangsters to Terrorism and Beyond._ Sponsored by the J. Dennis Hastert Center for Economics_ Government and Public Policy.,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/s130x130/11083641_10152686782515563_278711752171528263_n.jpg?oh=6fe09248f97796305d08bd0bc4610bf8&oe=55A29B6D&__gda__=1436242662_7135db15d48b27f73da479cab52eba85,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152686782515563/?type=1,facebook.com,2015-04-13T13:38:12+0000,1428932292,4/13/2015 15:38,12,12,0,0,0,0,0,0,12,54942390562_10152686790960563,https://www.facebook.com/54942390562/posts/10152686790960563
photo,post_page_54942390562,Senior Banquet was this weekend: a time to remember_ reflect and connect before heading out to serve Christ and His Kingdom.,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/11057843_770807469683951_5040985839135819323_n.jpg?oh=ccc2913d447840c1d9835176ff294cb5&oe=55DD4F4B,https://www.facebook.com/saomediahub/photos/a.770807433017288.1073741861.120575688040469/770807469683951/?type=1,facebook.com,2015-04-13T12:53:47+0000,1428929627,4/13/2015 14:53,23,23,0,0,0,0,0,0,23,54942390562_10152686721025563,https://www.facebook.com/54942390562/posts/10152686721025563
link,post_page_54942390562,Considering Ph.D. work is an important decision. Our Ph.D. faculty member Dr. Daniel Treier has written advice to evangelical students who are pursuing doctoral programs.,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBBSzQAGNKo9_WF&w=130&h=130&url=https%3A%2F%2Fscontent.xx.fbcdn.net%2Fhphotos-xap1%2Fv%2Ft1.0-9%2F11057761_10152660736930563_5400068147213584518_n.jpg%3Foh%3Da3b2607291a04a49d59d9db90c477636%26oe%3D55B2BF31&cfs=1&sx=0&sy=0&sw=175&sh=175,http://www.wheaton.edu/Graduate-School/Degrees/BTS/PhD/Advice-to-Applicants,wheaton.edu,2015-04-11T21:33:00+0000,1428787980,4/11/2015 23:33,38,38,4,4,4,0,5,1,48,54942390562_10152660737345563,https://www.facebook.com/54942390562/posts/10152660737345563
photo,post_page_54942390562,April 10 Image of the Week  The United Nations proclaimed 2015 the International Year of Light and Light-based Technologies. Their aim is to promote how light-based technologies can help solve global challenges in the areas of energy_ education_ agriculture_ and health.  In honor of this exciting initiative_ Wheaton will host a day of events related to light called the Illumination Celebration on Saturday_ April 11_ from 1 to 4 p.m. in the Meyer Science Center. The event is open to the public and aimed at children (and their parents) of all ages. You will experience everything from shadow puppets to laser beams to taking peeks at the sun in the observatory.  We hope you can join us! Find out more information about our event at http://bit.ly/1EiFZdt.,https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/s130x130/11102724_10152681500615563_3874218843405433028_n.jpg?oh=7747eb96b90458e75c47476284a2db76&oe=55A70750&__gda__=1440822953_cb37f38fb6a04658b308d7f164f92f41,https://www.facebook.com/wheatoncollege.il/photos/a.10152510812215563.1073741840.54942390562/10152681500615563/?type=1,facebook.com,2015-04-10T20:46:36+0000,1428698796,4/10/2015 22:46,7,7,0,0,0,0,0,0,7,54942390562_10152681502770563,https://www.facebook.com/54942390562/posts/10152681502770563
photo,post_page_54942390562,Catch my cameo at Class Films tonight. Mrs. Ryken will award the Perry for Best Picture. -PGR  #rykenweek #wheatoncu,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/s130x130/10995346_10152681311760563_3838418010544433919_n.png?oh=dfaddcaf24c5df9c7b89bbf0be76c444&oe=55A6A1D4&__gda__=1436284459_4f48077d9e10e57c0b160948c4d45c1f,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152681311760563/?type=1,facebook.com,2015-04-10T18:37:06+0000,1428691026,4/10/2015 20:37,36,37,0,0,0,0,0,0,36,54942390562_10152681312065563,https://www.facebook.com/54942390562/posts/10152681312065563
photo,post_page_54942390562,Best way to de-stress? Probably petting the friendly dogs that the care team brought to campus today for Grad Student Life Week. - PGR #rykenweek,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/p130x130/11136725_10152680786935563_2117153420441198184_n.png?oh=c77f76c6139db6414d365b1cba71451c&oe=55A7D106&__gda__=1436630265_ad6682fa70f5a0bf2f1c7aad769dfb1a,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152680786935563/?type=1,facebook.com,2015-04-10T13:09:28+0000,1428671368,4/10/2015 15:09,73,74,1,1,1,0,3,0,77,54942390562_10152680787085563,https://www.facebook.com/54942390562/posts/10152680787085563
link,post_page_54942390562,When disaster strikes_ Christians have a unique opportunity to minister to the acute needs of the local community. If you_re interested in learning more about how your church can prepare to respond in times of disaster_ consider joining us for the Humanitarian Disaster Institute_s upcoming Disaster Ministry Conference. With speakers such as keynote Philip Yancey and topics like _Disaster Vulnerability: What is the Role of the Church?_ and _The Biblical Mandate for Mobilizing the Local Church for Disaster Response: Strategies that Work__ this groundbreaking event will equip and network pastors and church leaders to lead their congregations in developing effective disaster ministries. Check out all the amazing speakers and workshops_ and register today!,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQC8_cNy5VZv2XsX&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJR6y4kgLuAdg60aA0lxlbWlRhRZI2oYomddcnRpU7nO4CFbVmgHOZ3eO0qykvjoMKwV3L8U40wf3oWANtiQpJNO0dH1sAkBDkQm1qm1v3ZXcZxVdT_vvJs1dhybGDOAhD_kk0dW1RFmM30Sfn_ufwY&cfs=1,http://www.wheaton.edu/HDI/News/Disaster-Ministry-Conference/Disaster-Ministry-Conference-Schedule,wheaton.edu,2015-04-10T01:24:00+0000,1428629040,4/10/2015 3:24,35,35,0,0,0,0,11,0,46,54942390562_10152677370700563,https://www.facebook.com/54942390562/posts/10152677370700563
video,post_page_54942390562,Today Wheaton College joined “Bells Across the Land_” a commemoration for the ending of the Civil War 150 years ago_ on April 9_ 1865. Under the direction of the National Park Service_ the bells were rung first at the Appomattox Court House at 3:00 p.m. EDST_ where on that date the Civil War formally ended in the historic meeting between Ulysses S. Grant and Robert E. Lee.  At 2:15 CDST_ our Tower bell rang out slowly for one minute to commemorate the ending of our national conflict and our continued determination to make “liberty and justice for all” a reality for people of all ethnicities. Over one hundred fifty years ago_ Wheaton College saw students leave school to fight_ many never to return. Yet_ the tragic struggle helped bring about the abolition of slavery in the United States. The healing process continues to this day_ including in the church_ by the power of the living Christ.,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xpt1/v/t15.0-10/s130x130/11000240_10152679693345563_1806342817_n.jpg?oh=7d2f391c26cb685f3aca95cfe3dab202&oe=55A5FFD8&__gda__=1440367939_a9c72f48b94844f290550c1beba2a1d9,https://www.facebook.com/wheatoncollege.il/videos/10152679692490563/,facebook.com,2015-04-09T21:04:17+0000,1428613457,4/9/2015 23:04,197,200,7,7,7,0,51,3,258,54942390562_10152679692490563,https://www.facebook.com/54942390562/posts/10152679692490563
photo,post_page_54942390562,Spring is just about to bloom!,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/s130x130/11115596_10152679040730563_695976804874739381_n.jpg?oh=4d948753a8c18670162720b46026ea95&oe=5598200B&__gda__=1436044851_ec8ef797deb38c4786121d098963a4ad,https://www.facebook.com/wheatoncollege.il/photos/a.10150576620290563.372989.54942390562/10152679040730563/?type=1&relevant_count=1,facebook.com,2015-04-09T14:19:25+0000,1428589165,4/9/2015 16:19,139,139,2,2,2,0,3,1,145,54942390562_10152679040930563,https://www.facebook.com/54942390562/posts/10152679040930563
photo,post_page_54942390562,The Wheaton Theology Conference starts today. Welcome to everyone who will be joining us on campus!  #WTC15,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xtp1/v/t1.0-9/s130x130/11150155_10152679033435563_1387407645530568237_n.jpg?oh=20704e402948afcaf45170add4c88e52&oe=55DC85A9&__gda__=1436297503_df26d490b02e01dac953467e31a85294,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152679033435563/?type=1,facebook.com,2015-04-09T14:13:30+0000,1428588810,4/9/2015 16:13,59,59,0,0,0,0,2,0,61,54942390562_10152679034010563,https://www.facebook.com/54942390562/posts/10152679034010563
