nodedef>name VARCHAR,label VARCHAR,type VARCHAR,type_post VARCHAR,post_published VARCHAR,post_published_unix INT,user_locale VARCHAR,user_sex VARCHAR,likes INT,likes_count_fb INT,comments_all INT,comments_base INT,comments_replies INT,comment_likes INT,shares INT,engagement INT,post_id VARCHAR,post_link VARCHAR
70168191df8b4974b8cc32dd9466621aa14584d9,user_100000023321475,user,user,,,en_US,female,1,,0,0,0,,,1,,
29e93d35f74b45360b20ede43611a2a601fb5870,user_572661934,user,user,,,en_US,female,1,,0,0,0,,,1,,
8c60cc0ccdf4879d6b2cdf7bfd1af8a5dfabb0f0,user_619071869,user,user,,,en_US,female,2,,0,0,0,,,2,,
f48a633fd6997a52196a412e6cedcceb5e1b7b84,user_1416773173,user,user,,,en_US,male,1,,0,0,0,,,1,,
ef272150eb7c5da0174d17dac4ffa82be3dd303d,user_514024236,user,user,,,en_US,male,1,,0,0,0,,,1,,
c7644eaf85b2e98b4fab234b43c7088133137719,user_100002547548659,user,user,,,en_US,female,2,,0,0,0,,,2,,
7f2c493366735c2d08c4f884dedd9b86f6d4e244,user_100000625508570,user,user,,,en_US,female,5,,0,0,0,,,5,,
3df9bed33fdca30fac1fbaf267357895ae17712b,user_1343267734,user,user,,,en_US,male,9,,0,0,0,,,9,,
e280403894227cd1b6cf32107082204e2229042c,user_100000861106060,user,user,,,en_US,female,11,,0,0,0,,,11,,
4aeb683550c8162019dc4370b413e814c6592ba9,user_1367755493,user,user,,,en_US,male,6,,0,0,0,,,6,,
709efec8568419ead2d7414fd3c8db6b3ec095b6,user_100008685760214,user,user,,,en_US,female,1,,0,0,0,,,1,,
9dca6a0a77041950afb3222f2e4795ffa8eda43c,user_100008429072800,user,user,,,en_US,female,1,,0,0,0,,,1,,
18159298d46e8d4e1be24f4c9aa2e673035ce1db,user_547221755,user,user,,,en_GB,female,4,,0,0,0,,,4,,
32e3a2f4e5ff28bbcb8f40d058274423ad3e4b14,user_100009114828655,user,user,,,fr_FR,female,1,,0,0,0,,,1,,
b63399b9ab8f5ab2e0d5dc9dd3e528b7828cc0f4,user_100003089895343,user,user,,,en_US,female,1,,0,0,0,,,1,,
baef6edb985d9cf9b32eca9c72a27457f7dc3098,user_100000554763849,user,user,,,en_US,female,5,,0,0,0,,,5,,
82e94a42ab0eeba874692d4646c40a247861d16f,user_1000645969,user,user,,,en_US,,2,,0,0,0,,,2,,
e1f2bd436570a42a399d58d90288f824bdedaec0,user_1532450192,user,user,,,en_US,female,1,,0,0,0,,,1,,
9d4d84f01d960a3120b5e0d51283399def9c819a,user_100003512226187,user,user,,,en_US,female,1,,0,0,0,,,1,,
125379ec9deebe9a7c1585e197de3e435c430c22,user_1148306364,user,user,,,en_US,female,1,,0,0,0,,,1,,
9d72145b41c289f804183f0199ec5b96f2330553,user_679168141,user,user,,,en_US,male,1,,0,0,0,,,1,,
973fd7b1b1fdd0e2c9316c80cfe2782e8ee2e192,user_1409225301,user,user,,,en_US,female,15,,0,0,0,,,15,,
344c82649fb1855c953f4d887717ffa6f274340e,user_100006690461549,user,user,,,en_US,male,1,,0,0,0,,,1,,
c96c3569d9ed9cf03fe8da2d8b977a75aa80dfe1,user_1472647119,user,user,,,en_US,female,1,,0,0,0,,,1,,
c24afdfd6e20ff8f574ed822dea5c51b65278035,user_100003706254342,user,user,,,en_US,female,1,,0,0,0,,,1,,
3b802349a992c2c6f645bb8977da4c7a2fd15b8e,user_1396339197,user,user,,,en_US,female,1,,0,0,0,,,1,,
ffd8fc77d9d3ac4971333388c2db77d52d38b45e,user_527916553,user,user,,,en_US,female,4,,0,0,0,,,4,,
9136cc1de3059651e8d271fa4ac02a6314332df2,user_100000515549098,user,user,,,en_US,female,2,,0,0,0,,,2,,
5ac36fa0b29498802916d779514fdb3e3d7a4c62,user_1135320555,user,user,,,en_US,male,1,,0,0,0,,,1,,
098514478ba7c2b522a3fba166575e7fd6be4510,user_692470173,user,user,,,en_US,male,1,,0,0,0,,,1,,
60a28a33104ccd74ba9960030e0a4fc697724a6c,user_100002586298944,user,user,,,en_US,female,1,,0,0,0,,,1,,
522b1dfe955dcba1b0c36a6aae2b0d9160641fca,user_1001364526,user,user,,,en_US,female,2,,0,0,0,,,2,,
8e878d3515c05e9c352d4874aef95ba0b2f4a2c1,user_100006946392907,user,user,,,en_US,female,1,,0,0,0,,,1,,
85f45eb32cd5a87b7226d28d3eaee1df2b9a4dd2,user_642371947,user,user,,,en_US,female,6,,0,0,0,,,6,,
89dc18f7d50c78deae17d8a4c6114c691da5f390,user_100008116863280,user,user,,,es_LA,male,1,,0,0,0,,,1,,
9596826d510d828720354477361e05c5831fa474,user_100001117175036,user,user,,,en_US,,1,,0,0,0,,,1,,
cc55f3b688bd69b9eb2d11e35195ebf4c5a3c355,user_100001129664820,user,user,,,en_US,female,1,,0,0,0,,,1,,
30d5c40b10a3141c5f6f1262bb7137a011528295,user_1676100419,user,user,,,en_US,female,1,,0,0,0,,,1,,
a974748e1cedb8aa20ed87cb587e0080d19fffbb,user_100002979510928,user,user,,,en_US,female,1,,0,0,0,,,1,,
f8012b7039c6d6ab5a9e0a25f333550761bfc62a,user_1453051477,user,user,,,en_US,female,14,,0,0,0,,,14,,
017b49ced7f2179f87fac6def2ff985db2040857,user_100003672191944,user,user,,,en_US,female,1,,0,0,0,,,1,,
0afcfff5b20f1d8ca136a33126f2f81f4489499d,user_573717703,user,user,,,en_US,female,2,,0,0,0,,,2,,
0f076c5ed454ff17c7d83bfe1805a297de703ac3,user_1439838507,user,user,,,en_US,female,1,,0,0,0,,,1,,
333b96e7fc35e97a881fbaf5fe3a7dd7251cd2d7,user_659592273,user,user,,,en_US,female,1,,0,0,0,,,1,,
fa10a261e77a1ff4882bb202193973198c6ba801,user_100001666966006,user,user,,,en_US,female,2,,0,0,0,,,2,,
21e1209460af15d896a527770ac682df9f3df5b9,user_615581489,user,user,,,en_US,female,3,,0,0,0,,,3,,
dfcda552b3e1b47651986ee7e8d8fe06b13bceab,user_1039200153,user,user,,,en_US,male,9,,0,0,0,,,9,,
9e9b4bd33f54cc3473c4360d121556195858c847,user_100004485109060,user,user,,,en_US,female,1,,0,0,0,,,1,,
ca74ff62759e93fc51b9b2ebebe8d281150c7221,user_1333171832,user,user,,,en_US,female,6,,0,0,0,,,6,,
d4a27ef6851f70bc2576864e87e0c55d0c9ee753,user_701412398,user,user,,,en_US,female,2,,0,0,0,,,2,,
e6d16d3b93d985bac6b82a95627dacf16873576d,user_100002374889205,user,user,,,en_US,female,1,,0,0,0,,,1,,
257337ff2cef84fe41d0e8e2008cc08251740151,user_1611116242,user,user,,,en_US,male,1,,0,0,0,,,1,,
1e3c0b6dc92280e310f9eea55baa3c7cfc71f61e,user_1662640049,user,user,,,en_US,female,1,,0,0,0,,,1,,
e5a9e2c11d76e03eb7ef2a61b17ff04131eaefe3,user_187703168,user,user,,,en_US,female,6,,1,1,0,,,7,,
7fe8a504989664919149a731dd482eeefc5bd222,user_1226816133,user,user,,,en_US,male,3,,0,0,0,,,3,,
49802f7d0c36665966845668c14aecbe49dcd892,user_1489995127,user,user,,,en_US,female,1,,0,0,0,,,1,,
219386a3dd0c6eb86bd12ecfaabc6a791b1188db,user_1115815827,user,user,,,en_US,female,2,,0,0,0,,,2,,
9bda2112f5628f83ba817b7ee294e4c246e5447b,user_100000196094356,user,user,,,en_US,female,2,,0,0,0,,,2,,
b360eda81f3e91af4d86bba3903ba388fcc07e6d,user_831637225,user,user,,,en_US,male,1,,0,0,0,,,1,,
86cecc21d4dd78613b3d00510ccfebf816e051ae,user_100003327512024,user,user,,,en_US,female,3,,0,0,0,,,3,,
5568d56d4a8647d0be0d41634fe0fd668c2136e5,user_1373107259,user,user,,,en_US,male,10,,0,0,0,,,10,,
5ed70293fa855b7591fad9b4a73e9a54ff7da51d,user_100002107430596,user,user,,,fr_FR,female,1,,0,0,0,,,1,,
0d7599a066a26386863b5d76b57ec70cc1a341f5,user_749978224,user,user,,,en_US,female,1,,0,0,0,,,1,,
95165e008ee19f8fb125a564ff8ef2ee88232450,user_1561476065,user,user,,,en_US,female,4,,0,0,0,,,4,,
4e83540b1613e97f281497bb8e50cf708189b3d3,user_21419816,user,user,,,en_US,male,1,,0,0,0,,,1,,
9773a00693c2dc76b3513f08c29876e7d0203169,user_605368648,user,user,,,en_US,female,20,,0,0,0,,,20,,
376d9a2faa5dd6b5712124f62f2e6dd5a0c2c7e0,user_542012099,user,user,,,en_US,female,1,,0,0,0,,,1,,
2679792aaec9740f3b80d3903c55d797903808a2,user_100006872807670,user,user,,,en_US,female,12,,0,0,0,,,12,,
5689ca25e52f83436ff24ab62cd1d1fe170d9068,user_1659710330,user,user,,,en_US,male,4,,0,0,0,,,4,,
964590303f211e68fadc2f2f03ac05e6935cdb40,user_1001680180,user,user,,,en_US,female,9,,0,0,0,,,9,,
