type,by,post_message,picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes,likes_count_fb,comments_count_fb,comments_all,comments_base,comments_replies,shares,comment_likes,engagement,post_id,post_link
photo,post_page_128219800554550,In honour of National Sanitation Day this past Saturday_ the Ashesi community turned out in huge numbers to support the people of Berekuso in the town_s biggest cleanup exercise in decades. A big _thank you_ to everyone who showed up_ and to Zoomlion for bringing all the cleaning gear to support. We look forward to Berekuso becoming Ghana_s most beautiful city! #Citizenship #Berekuso #CleanGhana,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/s130x130/10402861_917037898339399_3839662760304590311_n.jpg?oh=23ba5c160f6f09727e0b90e37e25d379&oe=55D7375E&__gda__=1439983544_bc3e52f7d4aa27a06e52b3d09b29baa1,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/917037898339399/?type=1,facebook.com,2015-02-09T16:57:06+0000,1423501026,2/9/2015 17:57,183,183,9,9,9,0,19,15,226,128219800554550_917038505006005,https://www.facebook.com/128219800554550/posts/917038505006005
photo,post_page_128219800554550,Join us on March 5 in New York City to discuss the role of higher education on development in Africa_ led by a panel including leadership from the Ford Foundation_ Institute of International Education_ The World Bank_ and Patrick Awuah Jr. To RSVP and learn more: http://bit.ly/1DJnP18,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xtp1/v/t1.0-9/s130x130/10987329_915716371804885_6005214060287670549_n.jpg?oh=f7a1609703582efeec88a0f5c2648db3&oe=55DC20CA&__gda__=1436303709_58881a88c0120a2e4bb885cd73d3ce9e,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/915716371804885/?type=1,facebook.com,2015-02-06T21:37:35+0000,1423258655,2/6/2015 22:37,138,139,6,4,4,0,20,1,163,128219800554550_915717521804770,https://www.facebook.com/128219800554550/posts/915717521804770
photo,post_page_128219800554550,We completely love this aerial view of Ashesi showing our current campus and ongoing expansion projects. Only a few more weeks to go before our Engineering building and new student housing is completed! Who else is excited?  (Photo: AeroShutter),https://scontent.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/q82/s130x130/10984078_915226975187158_7460908395218325085_n.jpg?oh=66af135f5af56f1f0b7f952cc4f76928&oe=55A1C7CE,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/915226975187158/?type=1,facebook.com,2015-02-05T17:16:02+0000,1423156562,2/5/2015 18:16,523,528,27,24,24,0,25,28,600,128219800554550_915227828520406,https://www.facebook.com/128219800554550/posts/915227828520406
photo,post_page_128219800554550,2015 is shaping out to be a great year! We just signed on to a new $3.5 million partnership with General Electric (GE) and the Ghana National Petroleum Corporation to develop local talent for Ghana_s Oil and Gas industry. - http://bit.ly/AshesiGEGNPC  (Photo: Ashesi President_ Patrick Awuah Jr. shares a handshake with GE Global Chairman and CEO Jeff Imelt; looking on are CEO of GE Oil & Gas for Africa_ Marco Caccavale and CEO of GE Ghana_ Leslie Nelson | Credit: GE),https://scontent.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/s130x130/10384281_911606112215911_8721113040987729130_n.jpg?oh=304ea3af1e40afa91b074453143aa26a&oe=55E5E2FF,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/911606112215911/?type=1,facebook.com,2015-01-29T16:30:03+0000,1422549003,1/29/2015 17:30,390,394,31,28,28,0,77,26,521,128219800554550_911630385546817,https://www.facebook.com/128219800554550/posts/911630385546817
link,post_page_128219800554550,Help us pass this on! News broke about yesterday_s arrest of SIM box fraudsters in Ghana_ and some news agencies inaccurately identified one of the arrested parties_ Dr. Alexander Tweneboah_ as a Lecturer at Ashesi University College.  Dr. Alexander Tweneboah is not_ and never has been_ a Lecturer at Ashesi.,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBq4RFZkOytOHZp&w=130&h=130&url=http%3A%2F%2Fashesi.edu.gh%2Fimages%2Fnews_events%2Fnews%2Fashesi_b.jpg&cfs=1,http://bit.ly/1zoRvmA,bit.ly,2015-01-27T12:46:00+0000,1422362760,1/27/2015 13:46,127,128,5,5,5,0,88,5,225,128219800554550_910671215642734,https://www.facebook.com/128219800554550/posts/910671215642734
photo,post_page_128219800554550,_If Africa_s progress is to last_ and not be eclipsed by each new crisis_ then African citizens are going to have to drive much of this change for themselves._  From the World Economic Forum_s Annual Meeting 2015 in #Davos_ Ashesi President Patrick Awuah Jr. makes the case for why Africa must do more to empower young people. - http://bit.ly/1upmKqa,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/1174891_908033522573170_8815268948669586381_n.jpg?oh=e2341e81912d53fb83f4113e83e24af6&oe=559D8C0A,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/908033522573170/?type=1,facebook.com,2015-01-23T14:56:14+0000,1422024974,1/23/2015 15:56,323,333,12,12,12,0,123,10,468,128219800554550_908036735906182,https://www.facebook.com/128219800554550/posts/908036735906182
photo,post_page_128219800554550,Share this_ and tell a friend to tell a friend: we are inviting young leaders and changemakers to apply to join our community! Learn more: http://ashesi.edu.gh,https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s130x130/10408066_907660169277172_8573577806644611350_n.jpg?oh=a7803f7980773c070f42e01113f9155f&oe=559C53EF,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/907660169277172/?type=1,facebook.com,2015-01-22T16:45:22+0000,1421945122,1/22/2015 17:45,145,148,7,7,7,0,97,1,250,128219800554550_907660282610494,https://www.facebook.com/128219800554550/posts/907660282610494
photo,post_page_128219800554550,The power of teamwork: thanks to remarkable support and donations from a global community_ we raised all $6.12M needed to start our engineering programme!   On behalf of all us at Ashesi_ thank you for continuing to believe in an African renaissance! Learn more about our progress: http://bit.ly/1wdUruB You can still continue to give to get your name on our new donor wall_ and help strengthen Ashesi even further!#EngineeringAfrica #Ashesi #Vim,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xtf1/v/t1.0-9/s130x130/10917255_904585056251350_8555981756986284683_n.jpg?oh=9e1999fa74b560e73d4df6ddde45457e&oe=559BE2B3&__gda__=1437030557_aff39c036444240f72fb6496f8c349ad,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/904585056251350/?type=1,facebook.com,2015-01-15T17:38:53+0000,1421343533,1/15/2015 18:38,219,222,2,2,2,0,15,11,247,128219800554550_904590462917476,https://www.facebook.com/128219800554550/posts/904590462917476
photo,post_page_128219800554550,In the spirit of new beginnings_ join us in completing work for our new Engineering Programme launching in August 2015. Donate and put your name on the donor wall (marked by yellow dashed line) of the building that will be the home of our future Engineering students. Help make history!  Send us a message to learn how_ or visit: http://bit.ly/1yCS34m,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/s130x130/10898112_896217743754748_1771256600032109138_n.jpg?oh=5e3e1d5599562d9d84d668cdd8c098be&oe=55D9BD3A&__gda__=1439928296_0f66bbf35e6fbe6b606a6e299510e090,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/896217743754748/?type=1,facebook.com,2015-01-03T15:00:01+0000,1420297201,1/3/2015 16:00,259,262,8,8,8,0,35,9,311,128219800554550_896293890413800,https://www.facebook.com/128219800554550/posts/896293890413800
photo,post_page_128219800554550,_I believe that fortune will smile on Africa eventually; and the renaissance that we dream of_ that we seek_ will come to pass._ - Patrick Awuah Jr.   Happy new year_ from our home to yours. Looking forward to a year full of new beginnings for Africa. Let_s continue to drive the renaissance that we seek!,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/s130x130/10882163_894820943894428_7361587007057871285_n.jpg?oh=acfc01e9ed8c0299434a79fb4b149852&oe=55D35FC7&__gda__=1436441889_5bfacd582dbed4b46df351caef26a466,https://www.facebook.com/Ashesi/photos/a.346107078765820.80167.128219800554550/894820943894428/?type=1,facebook.com,2015-01-01T07:20:00+0000,1420096800,1/1/2015 8:20,280,290,14,14,14,0,10,5,309,128219800554550_894822377227618,https://www.facebook.com/128219800554550/posts/894822377227618
